participant_id,survey_type,outside_activity_engagement,outside_activity_frequency,days_checked_for_smoke_info,reduced_outdoor_activities_due_to_smoke,consecutive_days_reduced_outdoor_activity,min_aqi_reduce_activity,min_aqi_eliminate_activity,motivating_info_to_reduce_outdoor_activity
Participant 520,in_person,Yes – Please list the activities __________________,"Less than once per week, but more than once per month",1 days,No,0 days,Purple – Very Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 520,online,Yes – Please list the activities __________________,A few times per week,0 days,Yes,1 to 2 days,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Smoke-related health problem statistics
Participant 521,in_person,Yes – Please list the activities __________________,A few times per week,0 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Smoke-related health problem statistics
Participant 521,online,Yes – Please list the activities __________________,A few times per week,0 days,No,0 days,Maroon – Hazardous,Maroon – Hazardous,
Participant 522,in_person,Yes – Please list the activities __________________,A few times per week,4-5 days,Yes,1 to 2 days,Red – Unhealthy,Red – Unhealthy,Air quality information
Participant 522,online,Yes – Please list the activities __________________,Once per week,1 days,No,0 days,Red – Unhealthy,Red – Unhealthy,Air quality information
Participant 523,in_person,Yes – Please list the activities __________________,Daily,0 days,No,0 days,Purple – Very Unhealthy,Maroon – Hazardous,Smoke-related health problem statistics
Participant 523,online,Yes – Please list the activities __________________,A few times per week,3 days,Yes,4 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 524,in_person,Yes – Please list the activities __________________,A few times per week,2 days,Yes,1 to 2 days,Red – Unhealthy,Maroon – Hazardous,Smoke-related health problem statistics
Participant 524,online,Yes – Please list the activities __________________,Daily,4-5 days,Yes,4 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 525,in_person,Yes – Please list the activities __________________,A few times per week,6-7 days,Yes,5 days,,,Air quality information
Participant 525,online,No (skip to question 11),,1 days,No,0 days,Purple – Very Unhealthy,Maroon – Hazardous,
Participant 526,in_person,Yes – Please list the activities __________________,Once per week,2 days,Yes,4 days,Red – Unhealthy,Red – Unhealthy,Smoke-related health problem statistics
Participant 526,online,Yes – Please list the activities __________________,A few times per week,2 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 527,in_person,Yes – Please list the activities __________________,A few times per week,3 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 527,online,Yes – Please list the activities __________________,Daily,,Yes,1 to 2 days,Red – Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 528,in_person,Yes – Please list the activities __________________,"Less than once per week, but more than once per month",3 days,Yes,6 days and more,Red – Unhealthy,Red – Unhealthy,Air quality information
Participant 528,online,Yes – Please list the activities __________________,Daily,0 days,Yes,3 days,Red – Unhealthy,Red – Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 529,in_person,Yes – Please list the activities __________________,Daily,4-5 days,No,1 to 2 days,Maroon – Hazardous,Maroon – Hazardous,Smoke forecasts
Participant 529,online,Yes – Please list the activities __________________,A few times per week,6-7 days,Yes,4 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 53,in_person,Yes – Please list the activities __________________,Daily,4-5 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 53,online,Yes – Please list the activities __________________,Daily,6-7 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 530,in_person,Yes – Please list the activities __________________,"Less than once per week, but more than once per month",0 days,No,0 days,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Advice from family and friends
Participant 530,online,Yes – Please list the activities __________________,A few times per week,,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Your own visual observation (seeing the smoke outside)
Participant 531,in_person,Yes – Please list the activities __________________,Daily,2 days,Yes,1 to 2 days,,,Smoke-related health problem statistics
Participant 531,online,Yes – Please list the activities __________________,A few times per week,2 days,No,0 days,Red – Unhealthy,Red – Unhealthy,Air quality information
Participant 532,in_person,Yes – Please list the activities __________________,A few times per week,2 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 532,online,Yes – Please list the activities __________________,A few times per week,1 days,No,0 days,Purple – Very Unhealthy,Maroon – Hazardous,Smoke-related health problem statistics
Participant 533,in_person,Yes – Please list the activities __________________,"Less than once per week, but more than once per month",3 days,Yes,3 days,,Red – Unhealthy,Air quality information
Participant 533,online,Yes – Please list the activities __________________,"Less than once per week, but more than once per month",4-5 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 534,in_person,Yes – Please list the activities __________________,A few times per week,4-5 days,No,1 to 2 days,,Purple – Very Unhealthy,Smoke-related health problem statistics
Participant 534,online,No (skip to question 11),,,No,0 days,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 535,in_person,Yes – Please list the activities __________________,A few times per week,0 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 535,online,Yes – Please list the activities __________________,A few times per week,6-7 days,Yes,6 days and more,Yellow – Moderate,Red – Unhealthy,Smoke-related health problem statistics
Participant 536,in_person,Yes – Please list the activities __________________,A few times per week,1 days,Yes,1 to 2 days,Red – Unhealthy,Red – Unhealthy,Air quality information
Participant 536,online,Yes – Please list the activities __________________,Daily,6-7 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 537,in_person,Yes – Please list the activities __________________,A few times per week,3 days,Yes,4 days,Yellow – Moderate,Red – Unhealthy,Smoke-related health problem statistics
Participant 537,online,Yes – Please list the activities __________________,A few times per week,2 days,Yes,1 to 2 days,Red – Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 538,in_person,,,0 days,Yes,4 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Advice from family and friends
Participant 538,online,Yes – Please list the activities __________________,A few times per week,6-7 days,Yes,1 to 2 days,Red – Unhealthy,Purple – Very Unhealthy,
Participant 539,in_person,Yes – Please list the activities __________________,Once per week,0 days,No,0 days,I am not familiar with this rating,I am not familiar with this rating,Your own visual observation (seeing the smoke outside)
Participant 539,online,Yes – Please list the activities __________________,A few times per week,2 days,Yes,5 days,Orange – Unhealthy for Sensitive Groups,Purple – Very Unhealthy,Advice from your doctor
Participant 54,in_person,Yes – Please list the activities __________________,Daily,6-7 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 54,online,No (skip to question 11),,4-5 days,,0 days,Red – Unhealthy,Red – Unhealthy,Air quality information
Participant 540,in_person,Yes – Please list the activities __________________,A few times per week,0 days,Yes,6 days and more,I am not familiar with this rating,I am not familiar with this rating,Your own visual observation (seeing the smoke outside)
Participant 540,online,Yes – Please list the activities __________________,A few times per week,2 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 541,in_person,Yes – Please list the activities __________________,Daily,1 days,Yes,3 days,,Red – Unhealthy,Air quality information
Participant 541,online,Yes – Please list the activities __________________,Daily,0 days,Yes,6 days and more,Purple – Very Unhealthy,Purple – Very Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 542,in_person,Yes – Please list the activities __________________,Daily,0 days,No,0 days,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Your own visual observation (seeing the smoke outside)
Participant 542,online,Yes – Please list the activities __________________,A few times per week,0 days,Yes,1 to 2 days,Red – Unhealthy,Maroon – Hazardous,Smoke-related health problem statistics
Participant 543,in_person,Yes – Please list the activities __________________,A few times per week,,No,0 days,I am not familiar with this rating,I am not familiar with this rating,Your own visual observation (seeing the smoke outside)
Participant 543,online,Yes – Please list the activities __________________,Once per week,0 days,Yes,4 days,Red – Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 544,in_person,Yes – Please list the activities __________________,Once per week,0 days,No,0 days,I am not familiar with this rating,I am not familiar with this rating,Advice from your doctor
Participant 544,online,No (skip to question 11),,2 days,No,0 days,Purple – Very Unhealthy,Red – Unhealthy,
Participant 545,in_person,Yes – Please list the activities __________________,Daily,1 days,Yes,1 to 2 days,Yellow – Moderate,Green – Good,Air quality information
Participant 545,online,No (skip to question 11),,3 days,Yes,6 days and more,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 546,in_person,Yes – Please list the activities __________________,A few times per week,1 days,No,0 days,Purple – Very Unhealthy,Maroon – Hazardous,Your own visual observation (seeing the smoke outside)
Participant 546,online,Yes – Please list the activities __________________,"Less than once per week, but more than once per month",2 days,Yes,5 days,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Smoke-related health problem statistics
Participant 547,in_person,Yes – Please list the activities __________________,A few times per week,,No,0 days,,,Smoke-related health problem statistics
Participant 547,online,Yes – Please list the activities __________________,A few times per week,2 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Purple – Very Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 548,in_person,No (skip to question 11),,0 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 548,online,Yes – Please list the activities __________________,A few times per week,1 days,Yes,3 days,Red – Unhealthy,Purple – Very Unhealthy,Smoke-related health problem statistics
Participant 549,in_person,Yes – Please list the activities __________________,Daily,0 days,Yes,1 to 2 days,Purple – Very Unhealthy,Maroon – Hazardous,Your own visual observation (seeing the smoke outside)
Participant 549,online,No (skip to question 11),,3 days,Yes,6 days and more,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Smoke-related health problem statistics
Participant 55,in_person,Yes – Please list the activities __________________,Daily,6-7 days,Yes,3 days,Maroon – Hazardous,Maroon – Hazardous,Smoke-related health problem statistics
Participant 55,online,Yes – Please list the activities __________________,"Less than once per week, but more than once per month",3 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 550,in_person,Yes – Please list the activities __________________,Daily,6-7 days,,6 days and more,,,Smoke-related health problem statistics
Participant 550,online,Yes – Please list the activities __________________,A few times per week,,No,1 to 2 days,Yellow – Moderate,I am not familiar with this rating,Wildfire information
Participant 551,in_person,Yes – Please list the activities __________________,Once per week,3 days,Yes,4 days,Purple – Very Unhealthy,Maroon – Hazardous,Air quality information
Participant 551,online,Yes – Please list the activities __________________,Rarely – A few times during the summer,2 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 552,in_person,Yes – Please list the activities __________________,A few times per week,2 days,Yes,5 days,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 552,online,Yes – Please list the activities __________________,A few times per week,6-7 days,Yes,4 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 553,in_person,Yes – Please list the activities __________________,Once per week,,No,0 days,I am not familiar with this rating,I am not familiar with this rating,Advice from your doctor
Participant 553,online,Yes – Please list the activities __________________,Daily,4-5 days,Yes,1 to 2 days,Red – Unhealthy,Maroon – Hazardous,Smoke-related health problem statistics
Participant 554,in_person,Yes – Please list the activities __________________,Daily,0 days,Yes,3 days,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Advice from family and friends
Participant 554,online,Yes – Please list the activities __________________,A few times per week,0 days,No,0 days,Maroon – Hazardous,Maroon – Hazardous,
Participant 555,in_person,Yes – Please list the activities __________________,A few times per week,3 days,Yes,1 to 2 days,I am not familiar with this rating,I am not familiar with this rating,Your own visual observation (seeing the smoke outside)
Participant 555,online,Yes – Please list the activities __________________,"Less than once per week, but more than once per month",3 days,Yes,1 to 2 days,Red – Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 556,in_person,Yes – Please list the activities __________________,Daily,0 days,Yes,1 to 2 days,,Orange – Unhealthy for Sensitive Groups,Your own visual observation (seeing the smoke outside)
Participant 556,online,Yes – Please list the activities __________________,A few times per week,2 days,Yes,4 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 557,in_person,Yes – Please list the activities __________________,A few times per week,1 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Purple – Very Unhealthy,Smoke-related health problem statistics
Participant 557,online,Yes – Please list the activities __________________,A few times per week,0 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Your own visual observation (seeing the smoke outside)
Participant 558,in_person,Yes – Please list the activities __________________,Daily,6-7 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 558,online,No (skip to question 11),,0 days,,0 days,Red – Unhealthy,Purple – Very Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 559,in_person,Yes – Please list the activities __________________,Daily,0 days,No,0 days,,,
Participant 559,online,Yes – Please list the activities __________________,Daily,6-7 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 56,in_person,Yes – Please list the activities __________________,Daily,6-7 days,No,0 days,I am not familiar with this rating,I am not familiar with this rating,Air quality information
Participant 56,online,Yes – Please list the activities __________________,A few times per week,6-7 days,Yes,5 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Advice from your doctor
Participant 560,in_person,Yes – Please list the activities __________________,Daily,,,0 days,Red – Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 560,online,Yes – Please list the activities __________________,Daily,6-7 days,Yes,4 days,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 561,in_person,Yes – Please list the activities __________________,"Less than once per week, but more than once per month",0 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 561,online,,,,,,,,
Participant 562,in_person,Yes – Please list the activities __________________,"Less than once per week, but more than once per month",,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 562,online,Yes – Please list the activities __________________,A few times per week,1 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 563,in_person,Yes – Please list the activities __________________,Daily,,No,0 days,I am not familiar with this rating,I am not familiar with this rating,
Participant 563,online,Yes – Please list the activities __________________,Daily,6-7 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 564,in_person,Yes – Please list the activities __________________,A few times per week,3 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Smoke-related health problem statistics
Participant 564,online,Yes – Please list the activities __________________,A few times per week,0 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 565,in_person,Yes – Please list the activities __________________,Daily,1 days,No,0 days,Maroon – Hazardous,Maroon – Hazardous,Your own visual observation (seeing the smoke outside)
Participant 565,online,Yes – Please list the activities __________________,Once per week,6-7 days,Yes,6 days and more,Red – Unhealthy,Red – Unhealthy,Air quality information
Participant 566,in_person,Yes – Please list the activities __________________,Daily,6-7 days,Yes,1 to 2 days,Red – Unhealthy,Red – Unhealthy,Air quality information
Participant 566,online,Yes – Please list the activities __________________,Rarely – A few times during the summer,2 days,Yes,0 days,Red – Unhealthy,Red – Unhealthy,Smoke-related health problem statistics
Participant 567,in_person,Yes – Please list the activities __________________,Daily,1 days,No,0 days,I am not familiar with this rating,I am not familiar with this rating,Air quality information
Participant 567,online,Yes – Please list the activities __________________,Daily,1 days,No,0 days,Red – Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 568,in_person,Yes – Please list the activities __________________,Daily,0 days,Yes,3 days,Red – Unhealthy,,Air quality information
Participant 568,online,Yes – Please list the activities __________________,Daily,4-5 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 569,in_person,Yes – Please list the activities __________________,A few times per week,,Yes,1 to 2 days,I am not familiar with this rating,I am not familiar with this rating,Your own visual observation (seeing the smoke outside)
Participant 569,online,Yes – Please list the activities __________________,A few times per week,,Yes,1 to 2 days,I am not familiar with this rating,I am not familiar with this rating,Smoke forecasts
Participant 57,in_person,Yes – Please list the activities __________________,Daily,0 days,No,1 to 2 days,,I am not familiar with this rating,Wildfire information
Participant 57,online,Yes – Please list the activities __________________,A few times per week,4-5 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Advice from your doctor
Participant 570,in_person,Yes – Please list the activities __________________,A few times per week,,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 570,online,Yes – Please list the activities __________________,Daily,3 days,Yes,4 days,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 571,in_person,Yes – Please list the activities __________________,A few times per week,6-7 days,Yes,1 to 2 days,Purple – Very Unhealthy,Maroon – Hazardous,Air quality information
Participant 571,online,Yes – Please list the activities __________________,A few times per week,0 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Smoke-related health problem statistics
Participant 572,in_person,Yes – Please list the activities __________________,A few times per week,0 days,No,0 days,Purple – Very Unhealthy,Purple – Very Unhealthy,Advice from family and friends
Participant 572,online,No (skip to question 11),,0 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 573,in_person,Yes – Please list the activities __________________,Once per week,,Yes,1 to 2 days,Red – Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 573,online,Yes – Please list the activities __________________,A few times per week,2 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Your own visual observation (seeing the smoke outside)
Participant 574,in_person,Yes – Please list the activities __________________,A few times per week,2 days,No,3 days,I am not familiar with this rating,Yellow – Moderate,Smoke forecasts
Participant 574,online,Yes – Please list the activities __________________,"Less than once per week, but more than once per month",3 days,Yes,4 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 575,in_person,Yes – Please list the activities __________________,Daily,0 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Yellow – Moderate,Air quality information
Participant 575,online,Yes – Please list the activities __________________,Daily,6-7 days,Yes,4 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 576,in_person,Yes – Please list the activities __________________,,,No,0 days,I am not familiar with this rating,,
Participant 576,online,Yes – Please list the activities __________________,Daily,2 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 577,in_person,Yes – Please list the activities __________________,A few times per week,0 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Smoke-related health problem statistics
Participant 577,online,Yes – Please list the activities __________________,A few times per week,1 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 578,in_person,Yes – Please list the activities __________________,Once per week,6-7 days,Yes,4 days,Red – Unhealthy,Red – Unhealthy,Smoke-related health problem statistics
Participant 578,online,Yes – Please list the activities __________________,Once per week,1 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 579,in_person,Yes – Please list the activities __________________,A few times per week,4-5 days,Yes,4 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 579,online,Yes – Please list the activities __________________,Once per week,2 days,Yes,1 to 2 days,Red – Unhealthy,Purple – Very Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 58,in_person,Yes – Please list the activities __________________,A few times per week,3 days,Yes,3 days,Red – Unhealthy,Purple – Very Unhealthy,Smoke forecasts
Participant 58,online,Yes – Please list the activities __________________,A few times per week,1 days,Yes,3 days,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Smoke forecasts
Participant 580,in_person,Yes – Please list the activities __________________,Daily,3 days,Yes,5 days,,,Air quality information
Participant 580,online,No (skip to question 11),,1 days,No,0 days,Red – Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 581,in_person,Yes – Please list the activities __________________,Daily,4-5 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 581,online,No (skip to question 11),,6-7 days,,0 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 582,in_person,Yes – Please list the activities __________________,A few times per week,0 days,No,0 days,Purple – Very Unhealthy,Maroon – Hazardous,Your own visual observation (seeing the smoke outside)
Participant 582,online,Yes – Please list the activities __________________,Daily,0 days,Yes,5 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 583,in_person,Yes – Please list the activities __________________,Daily,0 days,No,0 days,Purple – Very Unhealthy,Purple – Very Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 583,online,Yes – Please list the activities __________________,A few times per week,2 days,Yes,4 days,Red – Unhealthy,Purple – Very Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 584,in_person,Yes – Please list the activities __________________,A few times per week,,No,0 days,Red – Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 584,online,Yes – Please list the activities __________________,Daily,4-5 days,Yes,1 to 2 days,Red – Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 585,in_person,Yes – Please list the activities __________________,Daily,6-7 days,No,6 days and more,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Your own visual observation (seeing the smoke outside)
Participant 585,online,Yes – Please list the activities __________________,A few times per week,6-7 days,Yes,5 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 586,in_person,Yes – Please list the activities __________________,"Less than once per week, but more than once per month",,No,0 days,Purple – Very Unhealthy,Maroon – Hazardous,Advice from family and friends
Participant 586,online,Yes – Please list the activities __________________,A few times per week,6-7 days,Yes,6 days and more,Yellow – Moderate,Yellow – Moderate,Your own visual observation (seeing the smoke outside)
Participant 587,in_person,Yes – Please list the activities __________________,A few times per week,4-5 days,Yes,5 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 587,online,No (skip to question 11),,4-5 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Smoke-related health problem statistics
Participant 588,in_person,Yes – Please list the activities __________________,A few times per week,6-7 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 588,online,Yes – Please list the activities __________________,Daily,6-7 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 589,in_person,Yes – Please list the activities __________________,Daily,0 days,No,0 days,,,Advice from family and friends
Participant 589,online,Yes – Please list the activities __________________,A few times per week,0 days,No,0 days,Maroon – Hazardous,Maroon – Hazardous,
Participant 59,in_person,Yes – Please list the activities __________________,"Less than once per week, but more than once per month",3 days,Yes,3 days,Red – Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 59,online,Yes – Please list the activities __________________,Rarely – A few times during the summer,0 days,No,0 days,I am not familiar with this rating,I am not familiar with this rating,Air quality information
Participant 590,in_person,Yes – Please list the activities __________________,A few times per week,2 days,Yes,,,Maroon – Hazardous,Air quality information
Participant 590,online,Yes – Please list the activities __________________,Daily,2 days,No,0 days,Red – Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 591,in_person,Yes – Please list the activities __________________,Daily,2 days,No,0 days,Red – Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 591,online,Yes – Please list the activities __________________,A few times per week,,Yes,1 to 2 days,Red – Unhealthy,Maroon – Hazardous,Air quality information
Participant 592,in_person,Yes – Please list the activities __________________,Once per week,4-5 days,Yes,3 days,Purple – Very Unhealthy,Maroon – Hazardous,Air quality information
Participant 592,online,Yes – Please list the activities __________________,A few times per week,3 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 593,in_person,Yes – Please list the activities __________________,Once per week,3 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 593,online,Yes – Please list the activities __________________,A few times per week,2 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 594,in_person,Yes – Please list the activities __________________,A few times per week,,Yes,1 to 2 days,Red – Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 594,online,No (skip to question 11),,3 days,Yes,5 days,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Smoke-related health problem statistics
Participant 595,in_person,Yes – Please list the activities __________________,Daily,2 days,No,0 days,Red – Unhealthy,Red – Unhealthy,Air quality information
Participant 595,online,Yes – Please list the activities __________________,A few times per week,6-7 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 596,in_person,,,4-5 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,
Participant 596,online,Yes – Please list the activities __________________,A few times per week,1 days,Yes,4 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 597,in_person,Yes – Please list the activities __________________,"Less than once per week, but more than once per month",4-5 days,No,6 days and more,Yellow – Moderate,Yellow – Moderate,Wildfire information
Participant 597,online,Yes – Please list the activities __________________,Daily,2 days,Yes,4 days,Red – Unhealthy,Red – Unhealthy,Air quality information
Participant 598,in_person,Yes – Please list the activities __________________,A few times per week,2 days,No,0 days,Purple – Very Unhealthy,Purple – Very Unhealthy,
Participant 598,online,Yes – Please list the activities __________________,Daily,1 days,Yes,6 days and more,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Smoke-related health problem statistics
Participant 599,in_person,Yes – Please list the activities __________________,A few times per week,4-5 days,Yes,4 days,Red – Unhealthy,Orange – Unhealthy for Sensitive Groups,Smoke forecasts
Participant 599,online,Yes – Please list the activities __________________,A few times per week,6-7 days,Yes,6 days and more,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Smoke-related health problem statistics
Participant 6,in_person,Yes – Please list the activities __________________,Daily,4-5 days,Yes,4 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 6,online,Yes – Please list the activities __________________,A few times per week,3 days,Yes,1 to 2 days,Red – Unhealthy,Purple – Very Unhealthy,Smoke-related health problem statistics
Participant 60,in_person,Yes – Please list the activities __________________,A few times per week,4-5 days,No,0 days,Purple – Very Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 60,online,Yes – Please list the activities __________________,Daily,1 days,Yes,4 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 600,in_person,Yes – Please list the activities __________________,A few times per week,4-5 days,Yes,5 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 600,online,Yes – Please list the activities __________________,Daily,6-7 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
