participant_id,reduced_outdoor_activities_due_to_smoke,outside_activity_frequency,min_aqi_reduce_activity,min_aqi_eliminate_activity
Participant 248,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 248,No,Daily,"301+:
Hazardous","301+:
Hazardous"
Participant 249,No,~3 per week,"151-200:
Unhealthy","301+:
Hazardous"
Participant 249,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 25,No,~1-3 per summer,"301+:
Hazardous","301+:
Hazardous"
Participant 25,Yes,~1-3 per month,I am not familiar with this rating,I am not familiar with this rating
Participant 250,Yes,~1-3 per month,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 250,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 251,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 251,Yes,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 252,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 252,No,~3 per week,"301+:
Hazardous","301+:
Hazardous"
Participant 253,Yes,~1-3 per summer,"101-150:
Unhealthy for
 Sensitive Grps.","201-300:
Very Unhealthy"
Participant 254,No,~3 per week,"301+:
Hazardous","301+:
Hazardous"
Participant 254,Yes,~3 per week,I am not familiar with this rating,I am not familiar with this rating
Participant 255,Yes,~1-3 per month,"101-150:
Unhealthy for
 Sensitive Grps.","51-100:
Moderate"
Participant 255,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 256,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 257,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 257,No,Daily,"301+:
Hazardous","301+:
Hazardous"
Participant 258,Yes,Daily,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 258,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 259,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 259,No,Daily,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 26,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","201-300:
Very Unhealthy"
Participant 26,Yes,~3 per week,I am not familiar with this rating,I am not familiar with this rating
Participant 260,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 261,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 261,Yes,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 262,No,~1 per week,"151-200:
Unhealthy","0-50:
Good"
Participant 263,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 264,No,Daily,"0-50:
Good","0-50:
Good"
Participant 264,Yes,Daily,I am not familiar with this rating,I am not familiar with this rating
Participant 265,No,~3 per week,"151-200:
Unhealthy","301+:
Hazardous"
Participant 265,Yes,Daily,"51-100:
Moderate","51-100:
Moderate"
Participant 266,No,~3 per week,I am not familiar with this rating,I am not familiar with this rating
Participant 266,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 267,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 268,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 268,Yes,~1-3 per summer,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 269,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 269,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 27,Yes,Daily,"151-200:
Unhealthy","301+:
Hazardous"
Participant 27,No,~3 per week,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 270,Yes,~3 per week,"0-50:
Good","0-50:
Good"
Participant 270,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 271,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 271,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 272,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 272,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 273,No,Daily,I am not familiar with this rating,I am not familiar with this rating
Participant 273,Yes,Daily,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 274,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 275,No,~3 per week,I am not familiar with this rating,I am not familiar with this rating
Participant 275,Yes,Daily,"151-200:
Unhealthy","101-150:
Unhealthy for
 Sensitive Grps."
Participant 276,Yes,~3 per week,"151-200:
Unhealthy","301+:
Hazardous"
Participant 276,Yes,Daily,"151-200:
Unhealthy","301+:
Hazardous"
Participant 277,No,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 277,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 278,No,~3 per week,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 278,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 279,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 28,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 280,Yes,Daily,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 280,No,~1-3 per summer,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 281,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 282,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 282,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 283,Yes,~3 per week,"151-200:
Unhealthy","301+:
Hazardous"
Participant 283,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 284,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 284,No,Daily,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 285,Yes,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 286,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 286,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 287,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 287,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 288,Yes,~1 per week,"0-50:
Good","51-100:
Moderate"
Participant 288,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","201-300:
Very Unhealthy"
Participant 289,Yes,Daily,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 29,Yes,~1-3 per month,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 29,No,Daily,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 290,No,~1 per week,I am not familiar with this rating,I am not familiar with this rating
Participant 290,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 291,No,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 291,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 292,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 293,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","201-300:
Very Unhealthy"
Participant 293,No,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 294,Yes,~3 per week,I am not familiar with this rating,I am not familiar with this rating
Participant 294,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","201-300:
Very Unhealthy"
Participant 295,Yes,~3 per week,"151-200:
Unhealthy","301+:
Hazardous"
Participant 295,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 296,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 296,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 297,No,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 297,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 298,Yes,Daily,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 299,No,Daily,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 3,Yes,~3 per week,"301+:
Hazardous","301+:
Hazardous"
Participant 3,No,~1-3 per month,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 30,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 30,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 300,No,Daily,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 300,Yes,~3 per week,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 301,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 301,Yes,~3 per week,"201-300:
Very Unhealthy","151-200:
Unhealthy"
Participant 302,Yes,~1 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 302,No,Daily,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 303,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 304,No,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 304,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 305,No,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 306,No,~3 per week,"301+:
Hazardous","301+:
Hazardous"
Participant 306,Yes,~3 per week,"51-100:
Moderate","151-200:
Unhealthy"
Participant 307,No,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 307,Yes,~1-3 per month,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 308,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 308,No,~1-3 per summer,"151-200:
Unhealthy","301+:
Hazardous"
Participant 309,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 309,Yes,~3 per week,I am not familiar with this rating,I am not familiar with this rating
Participant 31,Yes,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 31,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 310,Yes,~1-3 per summer,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 310,Yes,~1-3 per month,"51-100:
Moderate","51-100:
Moderate"
Participant 311,Yes,Daily,"151-200:
Unhealthy","301+:
Hazardous"
Participant 311,Yes,~1-3 per month,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 312,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 312,No,~3 per week,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 313,No,~1-3 per month,"201-300:
Very Unhealthy","151-200:
Unhealthy"
Participant 313,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 314,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 315,Yes,~1-3 per month,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 316,No,~3 per week,I am not familiar with this rating,I am not familiar with this rating
Participant 316,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 317,Yes,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 317,Yes,Daily,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 318,No,Daily,I am not familiar with this rating,I am not familiar with this rating
Participant 318,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 319,No,~1-3 per month,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 32,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 32,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 320,No,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 320,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 321,No,Daily,I am not familiar with this rating,I am not familiar with this rating
Participant 321,Yes,~1-3 per summer,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 322,No,Daily,I am not familiar with this rating,I am not familiar with this rating
Participant 322,Yes,~3 per week,"51-100:
Moderate","151-200:
Unhealthy"
Participant 323,Yes,Daily,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 324,No,Daily,"301+:
Hazardous","301+:
Hazardous"
Participant 324,Yes,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 325,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 326,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 327,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 328,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","301+:
Hazardous"
Participant 328,Yes,Daily,I am not familiar with this rating,I am not familiar with this rating
Participant 329,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 33,No,~1 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 33,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 330,Yes,~1-3 per month,"101-150:
Unhealthy for
 Sensitive Grps.","201-300:
Very Unhealthy"
Participant 331,Yes,~3 per week,"151-200:
Unhealthy","101-150:
Unhealthy for
 Sensitive Grps."
Participant 331,Yes,~3 per week,I am not familiar with this rating,I am not familiar with this rating
Participant 332,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 332,Yes,~1-3 per summer,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 333,Yes,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 333,Yes,~1 per week,I am not familiar with this rating,I am not familiar with this rating
Participant 334,Yes,Daily,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 334,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 335,No,~1 per week,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 336,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 336,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 337,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 337,Yes,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 338,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 339,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 34,No,~3 per week,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 34,Yes,~1-3 per summer,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 340,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 340,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 341,No,~1-3 per month,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 341,No,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 342,No,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 342,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 343,Yes,~1 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 343,Yes,~1-3 per month,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 344,No,~1-3 per month,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 344,No,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 345,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","201-300:
Very Unhealthy"
Participant 345,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 346,No,~1-3 per month,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 346,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 347,Yes,~1-3 per month,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 348,No,~1 per week,"301+:
Hazardous","301+:
Hazardous"
Participant 348,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 349,Yes,~1 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 349,No,~3 per week,I am not familiar with this rating,"301+:
Hazardous"
Participant 35,No,Daily,"301+:
Hazardous","301+:
Hazardous"
Participant 35,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 350,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 350,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 351,No,Daily,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 351,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 352,Yes,~3 per week,I am not familiar with this rating,I am not familiar with this rating
Participant 352,Yes,~1 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 353,Yes,Daily,"51-100:
Moderate","151-200:
Unhealthy"
Participant 353,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 354,Yes,Daily,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 354,No,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 355,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 355,No,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 356,No,Daily,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 356,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 357,No,Daily,"301+:
Hazardous","301+:
Hazardous"
Participant 357,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 358,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 358,Yes,Daily,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 359,Yes,Daily,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 359,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 36,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","301+:
Hazardous"
Participant 36,Yes,~1-3 per month,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 360,No,Daily,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 360,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 361,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 362,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 362,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 363,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 363,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 364,No,Daily,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 364,Yes,Daily,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 365,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 366,No,~1-3 per month,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 366,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 367,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 367,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 368,No,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 368,Yes,~1-3 per month,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 369,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 37,Yes,Daily,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 37,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 370,Yes,Daily,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 370,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 371,No,Daily,"301+:
Hazardous","301+:
Hazardous"
Participant 371,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 372,Yes,Daily,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 372,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 373,No,Daily,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 373,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 374,Yes,Daily,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 374,Yes,~3 per week,"151-200:
Unhealthy","301+:
Hazardous"
Participant 375,Yes,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 375,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 376,No,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 378,Yes,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 378,No,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 379,No,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 38,No,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 38,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 380,No,~3 per week,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 381,Yes,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 381,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 382,No,~3 per week,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 382,No,Daily,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 383,No,~3 per week,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 383,Yes,~1 per week,I am not familiar with this rating,I am not familiar with this rating
Participant 384,No,Daily,"201-300:
Very Unhealthy","151-200:
Unhealthy"
Participant 384,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 385,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 385,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","201-300:
Very Unhealthy"
Participant 386,No,~1 per week,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 386,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 387,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 387,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 388,No,~1-3 per month,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 389,No,~3 per week,I am not familiar with this rating,I am not familiar with this rating
Participant 389,No,~1 per week,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 39,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 39,Yes,~1-3 per month,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 390,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 391,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 391,Yes,~1-3 per summer,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 392,Yes,Daily,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 392,Yes,Daily,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 393,No,~3 per week,I am not familiar with this rating,I am not familiar with this rating
Participant 393,Yes,~1 per week,"51-100:
Moderate","151-200:
Unhealthy"
Participant 394,No,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 394,Yes,~1-3 per month,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 395,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 395,Yes,~1-3 per month,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 396,No,~3 per week,I am not familiar with this rating,I am not familiar with this rating
Participant 396,Yes,~1 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 397,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 397,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 398,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
